index,artist,wordcount german,wordcount italian,wordcount ratio german/italian,wordcount ratio italian/german
0,Michelangelo Buonarroti,18053,56166,0.3214222127265606,3.111172658283942
1,Filippo Brunelleschi,11258,17732,0.6348973607038123,1.5750577367205543
2,Raffael von Urbino,7523,16965,0.44344238137341585,2.255084407816031
4,Tizian von Cadore,4468,10587,0.4220270142627751,2.3695165622202325
5,Giotto,4219,10372,0.4067682221365214,2.458402465039109
6,Lorenzo Ghiberti,4012,8181,0.49040459601515707,2.0391326021934195
7,Donatello,3668,6845,0.5358655953250547,1.8661395856052345
8,Sebastiano del Piombo,3194,5370,0.5947858472998138,1.6812773951158422
9,Bramante von Urbino,3150,4533,0.6949040370615487,1.4390476190476191
10,Niccolo und Giovanni Pisani,2966,6273,0.47282002231787024,2.114969656102495
11,Pietro Perugino,2661,6648,0.4002707581227437,2.4983089064261557
12,Sandor Botticelli,2478,3176,0.7802267002518891,1.281678773204197
13,Fra Filippo Lippi,2382,3730,0.6386058981233244,1.5659109991603695
14,Domenico Ghirlandaio,2329,6037,0.38578764286897466,2.5920996135680547
15,Masaccio,2135,3423,0.623721881390593,1.6032786885245902
16,Andrea Mantegna,2128,3179,0.669392890846178,1.493890977443609
17,Luca della Robbia,2120,3993,0.5309291259704483,1.883490566037736
18,Andrea-del-Verocchio,2116,4139,0.51123459772892,1.9560491493383743
19,Fra Bartolommeo di San Marco,2097,4686,0.4475032010243278,2.234620886981402
20,Jacopo Giovanni und Gentile Bellini,2004,4871,0.41141449394374874,2.43063872255489
21,Fra Giovanni da Fiesole (Fra Angelico),1933,5032,0.3841414944356121,2.603207449560269
22,Luca Signorelli,1760,2341,0.7518154634771466,1.3301136363636363
23,Jacopo della Quercia,1733,2784,0.6224856321839081,1.606462781304097
24,Antonello da Messina,1627,2298,0.7080069625761531,1.4124154886293792
25,Giovanni Cimabue,1393,3260,0.4273006134969325,2.340272792534099
26,Giorgione von Castelfranco,1296,2153,0.6019507663725034,1.6612654320987654
27,Filippino Lippi,1263,2912,0.4337225274725275,2.3056215360253365
28,Antonio da Correggio,1190,2066,0.5759922555663117,1.7361344537815127
